dataset,method,n_samples,n_samples_perc,results
SST2,bow,500,0.07225433526011561,0.6655683690280065
SST2,bow,1000,0.14450867052023122,0.6732564524986271
SST2,bow,1500,0.21676300578034682,0.7012630422844591
SST2,bow,3000,0.43352601156069365,0.7561779242174629
CR,tfidf,250,0.08289124668435013,0.7033112582781457
CR,tfidf,500,0.16578249336870027,0.7417218543046358
CR,tfidf,1000,0.33156498673740054,0.7417218543046358
CR,tfidf,2000,0.6631299734748011,0.785430463576159
CR,tfidf,3000,0.9946949602122016,0.8105960264900662
CR,bow,250,0.08289124668435013,0.704635761589404
CR,bow,500,0.16578249336870027,0.7006622516556291
CR,bow,1000,0.33156498673740054,0.7576158940397351
CR,bow,2000,0.6631299734748011,0.7271523178807947
CR,bow,3000,0.9946949602122016,0.7788079470198676
MR,tfidf,250,0.02931175987806308,0.6291608063759963
MR,tfidf,500,0.05862351975612616,0.6436943272386311
MR,tfidf,1000,0.11724703951225232,0.6802625410220347
MR,tfidf,2000,0.23449407902450464,0.7144866385372715
MR,tfidf,4000,0.4689881580490093,0.7519924988279418
MR,bow,250,0.02931175987806308,0.553680262541022
MR,bow,500,0.05862351975612616,0.6174402250351617
MR,bow,1000,0.11724703951225232,0.6718237224566338
MR,bow,2000,0.23449407902450464,0.6943272386310361
MR,bow,4000,0.4689881580490093,0.7276136896390061
MPQA,tfidf,250,0.029474180617778827,0.6907119283356907
MPQA,tfidf,500,0.058948361235557654,0.7293729372937293
MPQA,tfidf,1000,0.11789672247111531,0.7562470532767562
MPQA,tfidf,2000,0.23579344494223062,0.7996228194247996
MPQA,tfidf,4000,0.47158688988446124,0.8255539839698256
MPQA,bow,250,0.029474180617778827,0.6765676567656765
MPQA,bow,500,0.058948361235557654,0.7265440829797265
MPQA,bow,1000,0.11789672247111531,0.7595473833097596
MPQA,bow,2000,0.23579344494223062,0.7996228194247996
MPQA,bow,4000,0.47158688988446124,0.8231966053748232
CoLA,tfidf,250,0.0292363466261256,0.6925996204933587
CoLA,tfidf,500,0.0584726932522512,0.6888045540796964
CoLA,tfidf,1000,0.1169453865045024,0.6925996204933587
CoLA,tfidf,2000,0.2338907730090048,0.6925996204933587
CoLA,tfidf,4000,0.4677815460180096,0.6925996204933587
CoLA,bow,250,0.0292363466261256,0.6925996204933587
CoLA,bow,500,0.0584726932522512,0.6869070208728653
CoLA,bow,1000,0.1169453865045024,0.6925996204933587
CoLA,bow,2000,0.2338907730090048,0.6907020872865275
CoLA,bow,4000,0.4677815460180096,0.6888045540796964
SUBJ,tfidf,250,0.03125,0.8175
SUBJ,tfidf,500,0.0625,0.8345
SUBJ,tfidf,1000,0.125,0.84
SUBJ,tfidf,2000,0.25,0.8645
SUBJ,tfidf,4000,0.5,0.8865
SUBJ,bow,250,0.03125,0.7835
SUBJ,bow,500,0.0625,0.8045
SUBJ,bow,1000,0.125,0.8265
SUBJ,bow,2000,0.25,0.8525
SUBJ,bow,4000,0.5,0.862
SST2,tfidf,250,0.036127167630057806,0.615046677649643
SST2,tfidf,500,0.07225433526011561,0.6529379461834157
SST2,tfidf,1000,0.14450867052023122,0.7122460186710599
SST2,tfidf,1500,0.21676300578034682,0.7594728171334432
SST2,tfidf,3000,0.43352601156069365,0.7627677100494233
SST2,bow,250,0.036127167630057806,0.6479956068094453
SST2,bow,500,0.07225433526011561,0.6644700713893466
SST2,bow,1000,0.14450867052023122,0.6820428336079077
SST2,bow,1500,0.21676300578034682,0.7232289950576606
SST2,bow,3000,0.43352601156069365,0.7528830313014827
CR,tfidf,250,0.08289124668435013,0.7006622516556291
CR,tfidf,500,0.16578249336870027,0.7112582781456953
CR,tfidf,1000,0.33156498673740054,0.7629139072847683
CR,tfidf,2000,0.6631299734748011,0.7774834437086092
CR,tfidf,3000,0.9946949602122016,0.8066225165562914
CR,bow,250,0.08289124668435013,0.7072847682119205
CR,bow,500,0.16578249336870027,0.6741721854304635
CR,bow,1000,0.33156498673740054,0.7483443708609272
CR,bow,2000,0.6631299734748011,0.752317880794702
CR,bow,3000,0.9946949602122016,0.7920529801324503
MR,tfidf,250,0.02931175987806308,0.6090014064697609
MR,tfidf,500,0.05862351975612616,0.6169714017815283
MR,tfidf,1000,0.11724703951225232,0.6783872480075012
MR,tfidf,2000,0.23449407902450464,0.7191748710736052
MR,tfidf,4000,0.4689881580490093,0.739803094233474
MR,bow,250,0.02931175987806308,0.5893108298171589
MR,bow,500,0.05862351975612616,0.6441631504922645
MR,bow,1000,0.11724703951225232,0.6357243319268636
MR,bow,2000,0.23449407902450464,0.6887013595874355
MR,bow,4000,0.4689881580490093,0.7285513361462729
MPQA,tfidf,250,0.029474180617778827,0.7043847241867044
MPQA,tfidf,500,0.058948361235557654,0.7194719471947195
MPQA,tfidf,1000,0.11789672247111531,0.76001885902876
MPQA,tfidf,2000,0.23579344494223062,0.8043375766148043
MPQA,tfidf,4000,0.47158688988446124,0.8217821782178217
MPQA,bow,250,0.029474180617778827,0.7265440829797265
MPQA,bow,500,0.058948361235557654,0.7171145685997171
MPQA,bow,1000,0.11789672247111531,0.7501178689297501
MPQA,bow,2000,0.23579344494223062,0.7916077322017916
MPQA,bow,4000,0.47158688988446124,0.8118811881188119
CoLA,tfidf,250,0.0292363466261256,0.6925996204933587
CoLA,tfidf,500,0.0584726932522512,0.6925996204933587
CoLA,tfidf,1000,0.1169453865045024,0.6925996204933587
CoLA,tfidf,2000,0.2338907730090048,0.6925996204933587
CoLA,tfidf,4000,0.4677815460180096,0.6925996204933587
CoLA,bow,250,0.0292363466261256,0.6925996204933587
CoLA,bow,500,0.0584726932522512,0.6925996204933587
CoLA,bow,1000,0.1169453865045024,0.6925996204933587
CoLA,bow,2000,0.2338907730090048,0.6925996204933587
CoLA,bow,4000,0.4677815460180096,0.6925996204933587
SUBJ,tfidf,250,0.03125,0.8045
SUBJ,tfidf,500,0.0625,0.8265
SUBJ,tfidf,1000,0.125,0.854
SUBJ,tfidf,2000,0.25,0.864
SUBJ,tfidf,4000,0.5,0.8865
SUBJ,bow,250,0.03125,0.765
SUBJ,bow,500,0.0625,0.802
SUBJ,bow,1000,0.125,0.827
SUBJ,bow,2000,0.25,0.854
SUBJ,bow,4000,0.5,0.8715
SST2,tfidf,250,0.036127167630057806,0.6457990115321252
SST2,tfidf,500,0.07225433526011561,0.6771004942339374
SST2,tfidf,1000,0.14450867052023122,0.7265238879736409
SST2,tfidf,1500,0.21676300578034682,0.7589236683141132
SST2,tfidf,3000,0.43352601156069365,0.7732015376166941
SST2,bow,250,0.036127167630057806,0.6166941241076331
SST2,bow,500,0.07225433526011561,0.6331685886875343
SST2,bow,1000,0.14450867052023122,0.6836902800658978
SST2,bow,1500,0.21676300578034682,0.7243272926963207
SST2,bow,3000,0.43352601156069365,0.7600219659527732
CR,tfidf,250,0.08289124668435013,0.6609271523178808
CR,tfidf,500,0.16578249336870027,0.7072847682119205
CR,tfidf,1000,0.33156498673740054,0.7562913907284768
CR,tfidf,2000,0.6631299734748011,0.7960264900662252
CR,tfidf,3000,0.9946949602122016,0.8013245033112583
CR,bow,250,0.08289124668435013,0.7006622516556291
CR,bow,500,0.16578249336870027,0.6357615894039735
CR,bow,1000,0.33156498673740054,0.7615894039735099
CR,bow,2000,0.6631299734748011,0.7894039735099337
CR,bow,3000,0.9946949602122016,0.7867549668874172
MR,tfidf,250,0.02931175987806308,0.6183778715424285
MR,tfidf,500,0.05862351975612616,0.6568213783403657
MR,tfidf,1000,0.11724703951225232,0.6844819503047351
MR,tfidf,2000,0.23449407902450464,0.710267229254571
MR,tfidf,4000,0.4689881580490093,0.749648382559775
MR,bow,250,0.02931175987806308,0.5883731833098922
MR,bow,500,0.05862351975612616,0.6169714017815283
MR,bow,1000,0.11724703951225232,0.6413502109704642
MR,bow,2000,0.23449407902450464,0.7130801687763713
MR,bow,4000,0.4689881580490093,0.739803094233474
MPQA,tfidf,250,0.029474180617778827,0.7048561999057048
MPQA,tfidf,500,0.058948361235557654,0.735973597359736
MPQA,tfidf,1000,0.11789672247111531,0.7727487034417727
MPQA,tfidf,2000,0.23579344494223062,0.8095238095238095
MPQA,tfidf,4000,0.47158688988446124,0.8250825082508251
MPQA,bow,250,0.029474180617778827,0.7256011315417256
MPQA,bow,500,0.058948361235557654,0.7119283356907119
MPQA,bow,1000,0.11789672247111531,0.7661480433757661
MPQA,bow,2000,0.23579344494223062,0.7996228194247996
MPQA,bow,4000,0.47158688988446124,0.8345120226308345
CoLA,tfidf,250,0.0292363466261256,0.6925996204933587
CoLA,tfidf,500,0.0584726932522512,0.6925996204933587
CoLA,tfidf,1000,0.1169453865045024,0.6925996204933587
CoLA,tfidf,2000,0.2338907730090048,0.6925996204933587
CoLA,tfidf,4000,0.4677815460180096,0.6925996204933587
CoLA,bow,250,0.0292363466261256,0.6925996204933587
CoLA,bow,500,0.0584726932522512,0.6925996204933587
CoLA,bow,1000,0.1169453865045024,0.6925996204933587
CoLA,bow,2000,0.2338907730090048,0.6925996204933587
CoLA,bow,4000,0.4677815460180096,0.6944971537001897
SUBJ,tfidf,250,0.03125,0.811
SUBJ,tfidf,500,0.0625,0.828
SUBJ,tfidf,1000,0.125,0.855
SUBJ,tfidf,2000,0.25,0.88
SUBJ,tfidf,4000,0.5,0.8845
SUBJ,bow,250,0.03125,0.7725
SUBJ,bow,500,0.0625,0.8045
SUBJ,bow,1000,0.125,0.828
SUBJ,bow,2000,0.25,0.851
SUBJ,bow,4000,0.5,0.8705
SST2,tfidf,250,0.036127167630057806,0.6501922020867655
SST2,tfidf,500,0.07225433526011561,0.6622734761120264
SST2,tfidf,1000,0.14450867052023122,0.71444261394838
SST2,tfidf,1500,0.21676300578034682,0.7479406919275123
SST2,tfidf,3000,0.43352601156069365,0.7896760021965953
SST2,bow,250,0.036127167630057806,0.6353651839648545
SST2,bow,500,0.07225433526011561,0.6392092257001647
SST2,bow,1000,0.14450867052023122,0.6457990115321252
SST2,bow,1500,0.21676300578034682,0.7188358045030203
SST2,bow,3000,0.43352601156069365,0.7534321801208127
CR,tfidf,250,0.08289124668435013,0.6622516556291391
CR,tfidf,500,0.16578249336870027,0.7443708609271523
CR,tfidf,1000,0.33156498673740054,0.7602649006622516
CR,tfidf,2000,0.6631299734748011,0.8026490066225166
CR,tfidf,3000,0.9946949602122016,0.7973509933774835
CR,bow,250,0.08289124668435013,0.6596026490066225
CR,bow,500,0.16578249336870027,0.7019867549668874
CR,bow,1000,0.33156498673740054,0.6993377483443709
CR,bow,2000,0.6631299734748011,0.752317880794702
CR,bow,3000,0.9946949602122016,0.8
MR,tfidf,250,0.02931175987806308,0.5799343647444913
MR,tfidf,500,0.05862351975612616,0.6507266760431317
MR,tfidf,1000,0.11724703951225232,0.6840131270511017
MR,tfidf,2000,0.23449407902450464,0.726207219878106
MR,tfidf,4000,0.4689881580490093,0.753398968588842
MR,bow,250,0.02931175987806308,0.5944678856071262
MR,bow,500,0.05862351975612616,0.6394749179559306
MR,bow,1000,0.11724703951225232,0.6633849038912331
MR,bow,2000,0.23449407902450464,0.7097984060009377
MR,bow,4000,0.4689881580490093,0.7379278012189404
MPQA,tfidf,250,0.029474180617778827,0.6765676567656765
MPQA,tfidf,500,0.058948361235557654,0.7256011315417256
MPQA,tfidf,1000,0.11789672247111531,0.7642621404997643
MPQA,tfidf,2000,0.23579344494223062,0.7562470532767562
MPQA,tfidf,4000,0.47158688988446124,0.8264969354078265
MPQA,bow,250,0.029474180617778827,0.6944837340876945
MPQA,bow,500,0.058948361235557654,0.7223008015087223
MPQA,bow,1000,0.11789672247111531,0.7642621404997643
MPQA,bow,2000,0.23579344494223062,0.8015087223008015
MPQA,bow,4000,0.47158688988446124,0.8104667609618105
CoLA,tfidf,250,0.0292363466261256,0.6925996204933587
CoLA,tfidf,500,0.0584726932522512,0.6925996204933587
CoLA,tfidf,1000,0.1169453865045024,0.6925996204933587
CoLA,tfidf,2000,0.2338907730090048,0.6925996204933587
CoLA,tfidf,4000,0.4677815460180096,0.6925996204933587
CoLA,bow,250,0.0292363466261256,0.6925996204933587
CoLA,bow,500,0.0584726932522512,0.6888045540796964
CoLA,bow,1000,0.1169453865045024,0.6925996204933587
CoLA,bow,2000,0.2338907730090048,0.6925996204933587
CoLA,bow,4000,0.4677815460180096,0.6925996204933587
SUBJ,tfidf,250,0.03125,0.811
SUBJ,tfidf,500,0.0625,0.8355
SUBJ,tfidf,1000,0.125,0.858
SUBJ,tfidf,2000,0.25,0.8695
SUBJ,tfidf,4000,0.5,0.877
SUBJ,bow,250,0.03125,0.7975
SUBJ,bow,500,0.0625,0.798
SUBJ,bow,1000,0.125,0.839
SUBJ,bow,2000,0.25,0.8345
SUBJ,bow,4000,0.5,0.873
SST2,tfidf,250,0.036127167630057806,0.5601317957166392
SST2,tfidf,500,0.07225433526011561,0.6732564524986271
SST2,tfidf,1000,0.14450867052023122,0.7116968698517299
SST2,tfidf,1500,0.21676300578034682,0.7435475013728721
SST2,tfidf,3000,0.43352601156069365,0.7869302580999451
SST2,bow,250,0.036127167630057806,0.6337177375068643
SST2,bow,500,0.07225433526011561,0.6655683690280065
SST2,bow,1000,0.14450867052023122,0.6946732564524987
SST2,bow,1500,0.21676300578034682,0.7210323997803405
SST2,bow,3000,0.43352601156069365,0.7435475013728721
CR,BERT_TPU,250,0.08289124668435013,0.9089674
CR,BERT_TPU,500,0.16578249336870027,0.89402175
CR,BERT_TPU,1000,0.33156498673740054,0.90217394
CR,BERT_TPU,2000,0.6631299734748011,0.91847825
CR,BERT_TPU,3000,0.9946949602122016,0.9361413
CR,BERT_TPU,250,0.08289124668435013,0.6399456
CR,BERT_TPU,500,0.16578249336870027,0.89402175
CR,BERT_TPU,1000,0.33156498673740054,0.9048913
CR,BERT_TPU,2000,0.6631299734748011,0.8899456
CR,BERT_TPU,3000,0.9946949602122016,0.9307065
CR,BERT_TPU,250,0.08289124668435013,0.89538044
CR,BERT_TPU,500,0.16578249336870027,0.91711956
CR,BERT_TPU,1000,0.33156498673740054,0.62092394
CR,BERT_TPU,2000,0.6631299734748011,0.9035326
CR,BERT_TPU,3000,0.9946949602122016,0.93342394
CR,BERT_GPU,250,0.08289124668435013,0.8754967
CR,BERT_GPU,500,0.16578249336870027,0.90331125
CR,BERT_GPU,1000,0.33156498673740054,0.9112583
CR,BERT_GPU,2000,0.6631299734748011,0.91523176
CR,BERT_GPU,3000,0.9946949602122016,0.90596026
CR,BERT_GPU,250,0.08289124668435013,0.87947017
CR,BERT_GPU,500,0.16578249336870027,0.89139074
CR,BERT_GPU,1000,0.33156498673740054,0.90331125
CR,BERT_GPU,2000,0.6631299734748011,0.91258276
CR,BERT_GPU,3000,0.9946949602122016,0.9218543
CR,BERT_GPU,250,0.08289124668435013,0.87947017
CR,BERT_GPU,500,0.16578249336870027,0.8807947
CR,BERT_GPU,1000,0.33156498673740054,0.91523176
CR,BERT_GPU,2000,0.6631299734748011,0.9178808
CR,BERT_GPU,3000,0.9946949602122016,0.9231788
CR,XLNET_TPU,250,0.08289124668435013,0.6185430288314819
CR,XLNET_TPU,500,0.16578249336870027,0.6185430288314819
CR,XLNET_TPU,1000,0.33156498673740054,0.870198667049408
CR,XLNET_TPU,2000,0.6631299734748011,0.929801344871521
CR,XLNET_TPU,3000,0.9946949602122016,0.9218543171882629
CR,XLNET_TPU,250,0.08289124668435013,0.6211920380592346
CR,XLNET_TPU,500,0.16578249336870027,0.7139073014259338
CR,XLNET_TPU,1000,0.33156498673740054,0.9165562987327576
CR,XLNET_TPU,2000,0.6631299734748011,0.9218543171882629
CR,XLNET_TPU,3000,0.9946949602122016,0.9271523356437683
CR,XLNET_GPU,250,0.08289124668435013,0.6794701814651489
CR,XLNET_GPU,500,0.16578249336870027,0.8821191787719727
CR,XLNET_GPU,1000,0.33156498673740054,0.9112582802772522
CR,XLNET_GPU,2000,0.6631299734748011,0.9139072895050049
CR,XLNET_GPU,3000,0.9946949602122016,0.929801344871521
CR,XLNET_GPU,250,0.08289124668435013,0.617218554019928
CR,XLNET_GPU,500,0.16578249336870027,0.8596026301383972
CR,XLNET_GPU,1000,0.33156498673740054,0.8993377685546875
CR,XLNET_GPU,2000,0.6631299734748011,0.9192053079605103
CR,XLNET_GPU,3000,0.9946949602122016,0.9258278012275696
SST2,XLNET_TPU,250,0.036127167630057806,0.5019220113754272
SST2,XLNET_TPU,500,0.07225433526011561,0.5129050016403198
SST2,XLNET_TPU,1000,0.14450867052023122,0.7814387679100037
SST2,XLNET_TPU,1500,0.21676300578034682,0.9006040692329407
SST2,XLNET_TPU,3000,0.43352601156069365,0.9165293574333191
SST2,XLNET_TPU,250,0.036127167630057806,0.6342669129371643
SST2,XLNET_TPU,500,0.07225433526011561,0.6133992075920105
SST2,XLNET_TPU,1000,0.14450867052023122,0.9082921743392944
SST2,XLNET_TPU,1500,0.21676300578034682,0.8594179153442383
SST2,XLNET_TPU,3000,0.43352601156069365,0.9280614852905273
SST2,XLNET_GPU,250,0.036127167630057806,0.6858868598937988
SST2,XLNET_GPU,500,0.07225433526011561,0.8649094104766846
SST2,XLNET_GPU,1000,0.14450867052023122,0.8852279186248779
SST2,XLNET_GPU,1500,0.21676300578034682,0.8995057940483093
SST2,XLNET_GPU,3000,0.43352601156069365,0.9143328070640564
SST2,XLNET_GPU,250,0.036127167630057806,0.6545854210853577
SST2,XLNET_GPU,500,0.07225433526011561,0.874794065952301
SST2,XLNET_GPU,1000,0.14450867052023122,0.8693025708198547
SST2,XLNET_GPU,1500,0.21676300578034682,0.9028006792068481
SST2,XLNET_GPU,3000,0.43352601156069365,0.9154310822486877
SST2,BERT_TPU,250,0.036127167630057806,0.90345985
SST2,BERT_TPU,500,0.07225433526011561,0.8967634
SST2,BERT_TPU,1000,0.14450867052023122,0.8973214
SST2,BERT_TPU,1500,0.21676300578034682,0.8655134
SST2,BERT_TPU,3000,0.43352601156069365,0.9129464
SST2,BERT_TPU,250,0.036127167630057806,0.8895089
SST2,BERT_TPU,500,0.07225433526011561,0.89453125
SST2,BERT_TPU,1000,0.14450867052023122,0.8973214
SST2,BERT_TPU,1500,0.21676300578034682,0.91127235
SST2,BERT_TPU,3000,0.43352601156069365,0.9140625
SST2,BERT_GPU,250,0.036127167630057806,0.8423943
SST2,BERT_GPU,500,0.07225433526011561,0.8401977
SST2,BERT_GPU,1000,0.14450867052023122,0.8841296
SST2,BERT_GPU,1500,0.21676300578034682,0.8995058
SST2,BERT_GPU,3000,0.43352601156069365,0.9022515
SST2,BERT_GPU,250,0.036127167630057806,0.8720483
SST2,BERT_GPU,500,0.07225433526011561,0.8753432
SST2,BERT_GPU,1000,0.14450867052023122,0.88028556
SST2,BERT_GPU,1500,0.21676300578034682,0.88797367
SST2,BERT_GPU,3000,0.43352601156069365,0.8989566
MPQA,XLNET_TPU,250,0.029474180617778827,0.6789250373840332
MPQA,XLNET_TPU,500,0.058948361235557654,0.6784535646438599
MPQA,XLNET_TPU,1000,0.11789672247111531,0.6789250373840332
MPQA,XLNET_TPU,2000,0.23579344494223062,0.6789250373840332
MPQA,XLNET_TPU,4000,0.47158688988446124,0.8976897597312927
MPQA,XLNET_TPU,250,0.029474180617778827,0.6789250373840332
MPQA,XLNET_TPU,500,0.058948361235557654,0.6789250373840332
MPQA,XLNET_TPU,1000,0.11789672247111531,0.6789250373840332
MPQA,XLNET_TPU,2000,0.23579344494223062,0.6789250373840332
MPQA,XLNET_TPU,4000,0.47158688988446124,0.8505421876907349
MPQA,BERT_TPU,250,0.029474180617778827,0.6780303
MPQA,BERT_TPU,500,0.058948361235557654,0.6780303
MPQA,BERT_TPU,1000,0.11789672247111531,0.7698864
MPQA,BERT_TPU,2000,0.23579344494223062,0.6780303
MPQA,BERT_TPU,4000,0.47158688988446124,0.9124053
MPQA,BERT_TPU,250,0.029474180617778827,0.6780303
MPQA,BERT_TPU,500,0.058948361235557654,0.6780303
MPQA,BERT_TPU,1000,0.11789672247111531,0.90340906
MPQA,BERT_TPU,2000,0.23579344494223062,0.9000947
MPQA,BERT_TPU,4000,0.47158688988446124,0.9128788
MPQA,XLNET_GPU,250,0.029474180617778827,0.6789250373840332
MPQA,XLNET_GPU,500,0.058948361235557654,0.6789250373840332
MPQA,XLNET_GPU,1000,0.11789672247111531,0.8066949844360352
MPQA,XLNET_GPU,2000,0.23579344494223062,0.9024045467376709
MPQA,XLNET_GPU,4000,0.47158688988446124,0.9042904376983643
MPQA,XLNET_GPU,250,0.029474180617778827,0.6789250373840332
MPQA,XLNET_GPU,500,0.058948361235557654,0.6784535646438599
MPQA,XLNET_GPU,1000,0.11789672247111531,0.7972654700279236
MPQA,XLNET_GPU,2000,0.23579344494223062,0.8995756506919861
MPQA,XLNET_GPU,4000,0.47158688988446124,0.896746814250946
MPQA,BERT_GPU,250,0.029474180617778827,0.8821311
MPQA,BERT_GPU,500,0.058948361235557654,0.8920321
MPQA,BERT_GPU,1000,0.11789672247111531,0.8821311
MPQA,BERT_GPU,2000,0.23579344494223062,0.90240455
MPQA,BERT_GPU,4000,0.47158688988446124,0.9085337
MPQA,BERT_GPU,250,0.029474180617778827,0.8760019
MPQA,BERT_GPU,500,0.058948361235557654,0.8854314
MPQA,BERT_GPU,1000,0.11789672247111531,0.88826025
MPQA,BERT_GPU,2000,0.23579344494223062,0.8948609
