dataset,method,n_samples,n_samples_perc,results
SST2,tfidf,500,0.07225433526011561,0.6897309170785283
SST2,tfidf,1000,0.14450867052023122,0.6842394288852279
SST2,tfidf,1500,0.21676300578034682,0.728171334431631
SST2,tfidf,3000,0.43352601156069365,0.7677100494233937
SST2,bow,250,0.036127167630057806,0.6046128500823723
SST2,bow,500,0.07225433526011561,0.6501922020867655
SST2,bow,1000,0.14450867052023122,0.6990664470071389
SST2,bow,1500,0.21676300578034682,0.6694124107633168
SST2,bow,3000,0.43352601156069365,0.771554091158704
CR,tfidf,250,0.08289124668435013,0.695364238410596
CR,tfidf,500,0.16578249336870027,0.7099337748344371
CR,tfidf,1000,0.33156498673740054,0.7682119205298014
CR,tfidf,2000,0.6631299734748011,0.7655629139072848
CR,tfidf,3000,0.9946949602122016,0.7973509933774835
CR,bow,250,0.08289124668435013,0.695364238410596
CR,bow,500,0.16578249336870027,0.6966887417218544
CR,bow,1000,0.33156498673740054,0.743046357615894
CR,bow,2000,0.6631299734748011,0.7880794701986755
CR,bow,3000,0.9946949602122016,0.7880794701986755
MR,tfidf,250,0.02931175987806308,0.626347866854196
MR,tfidf,500,0.05862351975612616,0.6465072667604314
MR,tfidf,1000,0.11724703951225232,0.673230192217534
MR,tfidf,2000,0.23449407902450464,0.7121425222691046
MR,tfidf,4000,0.4689881580490093,0.7440225035161744
MR,bow,250,0.02931175987806308,0.5775902484763245
MR,bow,500,0.05862351975612616,0.639943741209564
MR,bow,1000,0.11724703951225232,0.6586966713548992
MR,bow,2000,0.23449407902450464,0.6905766526019691
MR,bow,4000,0.4689881580490093,0.7140178152836381
MPQA,tfidf,250,0.029474180617778827,0.6968411126826969
MPQA,tfidf,500,0.058948361235557654,0.7553041018387553
MPQA,tfidf,1000,0.11789672247111531,0.7538896746817539
MPQA,tfidf,2000,0.23579344494223062,0.7967939651107968
MPQA,tfidf,4000,0.47158688988446124,0.8161244695898161
MPQA,bow,250,0.029474180617778827,0.7048561999057048
MPQA,bow,500,0.058948361235557654,0.7152286657237152
MPQA,bow,1000,0.11789672247111531,0.7685054219707685
